2018-12-14 22:17:34,678 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:17:34,703 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:17:34,725 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:17:34,767 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:19:30,318 [Worker-31: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\pom.xml.
2018-12-14 22:19:31,041 [Worker-31: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare-dao:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\teamshare-dao\pom.xml.
2018-12-14 22:19:31,555 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\pom.xml.
2018-12-14 22:19:32,441 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare-dao:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\teamshare-dao\pom.xml.
2018-12-14 22:19:33,125 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:19:33,162 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:19:33,186 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:19:33,210 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:19:53,202 [Worker-24: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\pom.xml.
2018-12-14 22:19:53,804 [Worker-24: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare-dao:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\teamshare-dao\pom.xml.
2018-12-14 22:19:54,266 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:19:54,288 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:19:54,298 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:19:54,309 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:19:56,395 [Worker-32: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\pom.xml.
